,time,tx_count
1807,2013-12-20 00:00:00+00:00,65083
1808,2013-12-21 00:00:00+00:00,56083
1809,2013-12-22 00:00:00+00:00,52897
1810,2013-12-23 00:00:00+00:00,54267
1811,2013-12-24 00:00:00+00:00,55865
1812,2013-12-25 00:00:00+00:00,55428
1813,2013-12-26 00:00:00+00:00,51276
1814,2013-12-27 00:00:00+00:00,52674
1815,2013-12-28 00:00:00+00:00,48009
1816,2013-12-29 00:00:00+00:00,51325
1817,2013-12-30 00:00:00+00:00,55613
1818,2013-12-31 00:00:00+00:00,48847
1819,2014-01-01 00:00:00+00:00,43070
1820,2014-01-02 00:00:00+00:00,54770
1821,2014-01-03 00:00:00+00:00,60980
1822,2014-01-04 00:00:00+00:00,52052
1823,2014-01-05 00:00:00+00:00,58662
1824,2014-01-06 00:00:00+00:00,67358
1825,2014-01-07 00:00:00+00:00,62911
1826,2014-01-08 00:00:00+00:00,61439
1827,2014-01-09 00:00:00+00:00,59031
1828,2014-01-10 00:00:00+00:00,54166
1829,2014-01-11 00:00:00+00:00,55856
1830,2014-01-12 00:00:00+00:00,50537
1831,2014-01-13 00:00:00+00:00,53461
1832,2014-01-14 00:00:00+00:00,57378
1833,2014-01-15 00:00:00+00:00,61612
1834,2014-01-16 00:00:00+00:00,56703
1835,2014-01-17 00:00:00+00:00,59026
1836,2014-01-18 00:00:00+00:00,51573
1837,2014-01-19 00:00:00+00:00,48005
1838,2014-01-20 00:00:00+00:00,63003
1839,2014-01-21 00:00:00+00:00,72577
1840,2014-01-22 00:00:00+00:00,65835
1841,2014-01-23 00:00:00+00:00,63576
1842,2014-01-24 00:00:00+00:00,65600
1843,2014-01-25 00:00:00+00:00,53864
1844,2014-01-26 00:00:00+00:00,53582
1845,2014-01-27 00:00:00+00:00,64374
1846,2014-01-28 00:00:00+00:00,65762
1847,2014-01-29 00:00:00+00:00,59682
1848,2014-01-30 00:00:00+00:00,60799
1849,2014-01-31 00:00:00+00:00,60269
1850,2014-02-01 00:00:00+00:00,54838
1851,2014-02-02 00:00:00+00:00,52483
1852,2014-02-03 00:00:00+00:00,57600
1853,2014-02-04 00:00:00+00:00,69799
1854,2014-02-05 00:00:00+00:00,67529
1855,2014-02-06 00:00:00+00:00,70160
1856,2014-02-07 00:00:00+00:00,70514
1857,2014-02-08 00:00:00+00:00,65009
1858,2014-02-09 00:00:00+00:00,56579
1859,2014-02-10 00:00:00+00:00,66850
1860,2014-02-11 00:00:00+00:00,67229
1861,2014-02-12 00:00:00+00:00,62126
1862,2014-02-13 00:00:00+00:00,67339
1863,2014-02-14 00:00:00+00:00,74889
1864,2014-02-15 00:00:00+00:00,61896
1865,2014-02-16 00:00:00+00:00,57531
1866,2014-02-17 00:00:00+00:00,60853
1867,2014-02-18 00:00:00+00:00,65408
1868,2014-02-19 00:00:00+00:00,70142
1869,2014-02-20 00:00:00+00:00,71144
1870,2014-02-21 00:00:00+00:00,69390
1871,2014-02-22 00:00:00+00:00,58673
1872,2014-02-23 00:00:00+00:00,60074
1873,2014-02-24 00:00:00+00:00,73796
1874,2014-02-25 00:00:00+00:00,80082
1875,2014-02-26 00:00:00+00:00,73176
1876,2014-02-27 00:00:00+00:00,70859
1877,2014-02-28 00:00:00+00:00,70290
1878,2014-03-01 00:00:00+00:00,63402
1879,2014-03-02 00:00:00+00:00,56635
1880,2014-03-03 00:00:00+00:00,81264
1881,2014-03-04 00:00:00+00:00,84600
1882,2014-03-05 00:00:00+00:00,72392
1883,2014-03-06 00:00:00+00:00,70527
1884,2014-03-07 00:00:00+00:00,72345
1885,2014-03-08 00:00:00+00:00,64590
1886,2014-03-09 00:00:00+00:00,62161
1887,2014-03-10 00:00:00+00:00,70884
1888,2014-03-11 00:00:00+00:00,76204
1889,2014-03-12 00:00:00+00:00,76339
1890,2014-03-13 00:00:00+00:00,72805
1891,2014-03-14 00:00:00+00:00,70615
1892,2014-03-15 00:00:00+00:00,60308
1893,2014-03-16 00:00:00+00:00,59332
1894,2014-03-17 00:00:00+00:00,66396
1895,2014-03-18 00:00:00+00:00,54142
1896,2014-03-19 00:00:00+00:00,73804
1897,2014-03-20 00:00:00+00:00,71002
1898,2014-03-21 00:00:00+00:00,73091
1899,2014-03-22 00:00:00+00:00,66673
1900,2014-03-23 00:00:00+00:00,57811
1901,2014-03-24 00:00:00+00:00,70983
1902,2014-03-25 00:00:00+00:00,71883
1903,2014-03-26 00:00:00+00:00,68315
